id,keyword,type,createdBy,createdById,createdAt,updatedBy,updatedById,updatedAt
5845340cb140d78d0c123b96,A/C No.,POSITIVE,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2016-12-05 9:31:56 am,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2016-12-05 9:31:56 am
58bffad9bdeac5b071096bda,AD-RBLBNK,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:36:41 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:36:41 pm
58bff675bdeac5b071096b78,AM-HDFC,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:17:57 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:18:28 pm
58bffb22bdeac5b071096be2,AM-INDBNK,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:37:54 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:37:54 pm
58bffafcbdeac5b071096bde,AM-RBLBNK,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:37:16 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:37:16 pm
58bffab9bdeac5b071096bd7,AM-YESBANK,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:36:09 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:36:09 pm
58bff98cbdeac5b071096bb7,AMERICAN EXPRESS,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:31:08 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:31:08 pm
58bff994bdeac5b071096bb8,AMEX,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:31:16 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:31:16 pm
58bff7a2bdeac5b071096b88,AXIS,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:22:58 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:22:58 pm
58bff7c0bdeac5b071096b8a,AXIS BANK,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:23:28 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:23:28 pm
58bff7c9bdeac5b071096b8b,AXIS MOBILE,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:23:37 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:23:37 pm
58bff7b6bdeac5b071096b89,AXISBANK,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:23:18 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:23:18 pm
58917d6056999109118c8f1c,Anniversary,NEGATIVE,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-02-01 6:17:04 am,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-02-01 6:17:04 am
58bffa6ebdeac5b071096bcf,BH-BOIIND,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:34:54 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:34:54 pm
